Unnamed: 0,movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,Lãng Mạn,Tình Tiết,Thanh Xuân,Thành Thị,Viễn Tưởng,Phim Hài,Bí Ẩn,Hành Động,Cổ Trang,Tình Bạn,Phiêu Lưu,Tội Phạm,Tình Yêu Ngọt Ngào,Gia Đình,Nhiệt Huyết,Kinh Dị,Tiểu Thuyết Chuyển Thể,Other,director,cast,Popularity Levels
0,Mật Tình Thất Tâm Phần 1,Phim bộ,14000,8.4,T13,2018,12,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Zhang Lu Quan,"Luo Bin, Yin Ye Zi, Scarlet, 刘世龙（演员）, Ivan",0
1,【Lồng Tiếng】Cửa Hàng Tiện Lợi Saet Byul,Phim bộ,1600,9.4,T13,2020,16,Hàn Quốc,"Lãng Mạn, Thành Thị, Thanh Xuân",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Myung-woo Lee,"Ji Chang Wook, Kim You Jung, Angel Face, Sang-woo Do",-1
2,Sắc Xanh Lãng Mạn,Phim bộ,4800,9.3,T16,2020,14,Thái Lan,"Tội Phạm, Kinh Dị, Hình Sự, Tình Bạn, Thanh Xuân, Gia Đình",0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,Ongart Singlumpong,"Singto Prachaya Ruangroj, Namtan Tipnaree Weerawatnodom, Ohm Thitiwat Ritprasert",-1
3,Quy Lộ (Đường Về Nhà),Phim bộ,56800,9.7,T13,2023,30,Trung Quốc,"Lãng Mạn, Thành Thị, Hôn Nhân, Tiểu Thuyết Chuyển Thể",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Yu Cui Hua,"BoranJing, Đàm Tùng Vận, lison, Trương Bách Gia, Vương Hạo (diễn viên hài), Qiaoer Zhang",1
4,Đời Sống Ngục Tù,Phim bộ,8900,9.6,T18,2017,16,Hàn Quốc,"Tội Phạm, Tình Tiết, Phim Hài, Tình Bạn",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Shen Yuan Hao,"Hae-soo Park, Jung Kyung Ho , Jung Soo Jung, Jung Hae In",-1
5,Tình Yêu Đem Lại Hạnh Phúc - bản DVD,Phim bộ,4000,9.2,T13,2016,70,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Gia Đình, Hôn Nhân",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Liu Chun-Chieh,"WilliamChan, Tina Tang, Xu Ran, Mify, Ngụy Đại Huân, Eliza Liang, Lee Tae, Joyce, La Vân Hi, Lisa Chan, Wu Jing, Liu Li Wei, Rong Rong, Cai Gang, Fan Chun Xia",-1
6,Thần Khuyển Tiểu Thất 3,Phim bộ,50000,9.0,T13,2019,43,Trung Quốc,"Bí Ẩn, Thành Thị, Thanh Xuân",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yuan Xiao Man,"Jo Jiang, Cecilia Boey, Xu Ke, Cai Guo Qing, Cai Xuan Zheng, Vanessa",0
7,Ma Nữ Đáng Yêu,Phim bộ,11600,9.2,T13,2015,16,Hàn Quốc,"Lãng Mạn, Viễn Tưởng",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Liu Zai Yuan,"Park BoYoung, Kim Seulgie, Lim Ju-hwan",0
8,Giới Độc Phong Vân,Phim bộ,11000,8.6,T16,2020,37,Trung Quốc,"Tội Phạm, Bí Ẩn, Tình Tiết, Hình Sự, Thành Thị",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Wu Tian Ge,"He Zheng Jun, Li Qian, Chi Miao, Wei Li",0
9,The Lord Of Losers 2,Phim bộ,34000,9.7,T13,2023,24,Trung Quốc,"Phim Hài, Thành Thị",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Frank Wei,"Lý Giai Hàng, Zhang Yi Duo, Cheng Guo, Liu Zhong Qiu, Tu Hua, Li Wenfan, sunyiwen",1
10,Chúng Ta Hướng Tới Các Vì Sao,Phim bộ,22000,9.4,T13,2024,24,Trung Quốc,"Lãng Mạn, Thanh Xuân",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ba Chen Xu,"Victor, Ngô Thiên Doanh, Dai Gu La, Luyu Pan, Thời An, Gaga, Shen Bo Huai",1
11,Thần chết,Phim bộ,9600,9.1,T16,2017,18,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Viễn Tưởng",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Jin Hong Shan,"Song Seung Heon, Kim Dong Joon, Elle Lee, Ara",-1
12,Thế giới ngôn ngữ mới (Kì 1),Phim bộ,2000,8.0,T13,2017,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Phim Hài, Thành Thị",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sun Jia Jun,"Yu Lang, Zhang He Hao Zhen, Zhao Ying Jun, Sun Yi Ning, Guo Jin Fan",-1
13,Một tôi khác trên thế giới này,Phim bộ,1400,9.2,T13,2022,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào",1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Yu Jing, Wang Kai Yang","Zhao Dong Ze, Wu Man Si, Thang Mộng Giai, Tiêu Vũ Lương",-1
14,Vườn Sao Băng,Phim bộ,6200,9.6,T13,2009,25,Hàn Quốc,"Phim Hài, Thành Thị, Tình Yêu Ngọt Ngào, Học Đường",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Gi-Sang Jeon,Jun Ki Sang","Ku Hye Sun, Lee Min Ho, Hyun-joong Kim, Kim Bum, Kim Jun, Kim So-eun, Chae-young Han, Seok-Hwan An, Ye-jin Im",-1
15,Sợi Chỉ Đỏ,Phim bộ,19100,9.7,T18,2019,17,Thái Lan,"LGBT, Lãng Mạn, Tình Tiết, Học Đường",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,New Siwaj Sawatmaneekul,"Ohm Thitiwat Ritprasert, Natouch Siripongthon, Kao Noppakao Dechaphattanakun, Earth Katsamonnat Namwirote,Earth, Boun Noppanut, Prem Warut Chawalitrujiwong,Prem, Sammy Samantha Melanie Coates, Bosston Suphadach Wilairat, Mix Wanut Sangtianprapai, Pineare Pannin Charnmanoon",1
16,#cedoklife,Phim bộ,8000,9.5,T13,2023,6,other,"Tình Tiết, Phim Hài, Tình Bạn",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Waan Hafiz,"Faha Azhar, Sathis Varan, Ku Farisah, Hana Tiha, Nick Davis, Alynn Techen",-1
17,Lực lượng thần bí,Phim bộ,23000,9.1,T16,2015,20,Trung Quốc,"Bí Ẩn, Khoa Học Viễn Tưởng, Tình Tiết, Thanh Xuân, Tiểu Thuyết Chuyển Thể",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,Zhang Li,"Han Yang, Trương Bân Bân , Veronique, Wang Yi Jia, Zheng Xu Dong, Dolly fox, Zhao Yi Han, Tino",1
