movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,director,cast
Mật Tình Thất Tâm Phần 1,Phim bộ,14000,8.4,T13,2018,12,Trung Quốc đại lục,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân",Zhang Lu Quan,"Luo Bin, Yin Ye Zi, Scarlet, 刘世龙（演员）, Ivan"
【Lồng Tiếng】Cửa Hàng Tiện Lợi Saet Byul,Phim bộ,1600,9.4,T13,2020,16,Hàn Quốc,"Lãng Mạn, Thành Thị, Thanh Xuân, Tiếng Việt",Myung-woo Lee,"Ji Chang Wook, Kim You Jung, Angel Face, Sang-woo Do"
Sắc Xanh Lãng Mạn,Phim bộ,4800,9.3,T16,2020,14,Thái Lan,"Tội Phạm, Kinh Dị, Hình Sự, Tình Bạn, Thanh Xuân, Gia Đình",Ongart Singlumpong,"Singto Prachaya Ruangroj, Namtan Tipnaree Weerawatnodom, Ohm Thitiwat Ritprasert"
Quy Lộ (Đường Về Nhà),Phim bộ,56800,9.7,T13,2023,30,Trung Quốc đại lục,"Lãng Mạn, Thành Thị, Hôn Nhân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Yu Cui Hua,"BoranJing, Đàm Tùng Vận, lison, Trương Bách Gia, Vương Hạo (diễn viên hài), Qiaoer Zhang"
Đời Sống Ngục Tù,Phim bộ,8900,9.6,T18,2017,16,Hàn Quốc,"Tội Phạm, Tình Tiết, Phim Hài, Tình Bạn, Tiếng Hàn",Shen Yuan Hao,"Hae-soo Park, Jung Kyung Ho , Jung Soo Jung, Jung Hae In"
Tình Yêu Đem Lại Hạnh Phúc - bản DVD,Phim bộ,4000,9.2,T13,2016,70,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Gia Đình, Hôn Nhân, Tiếng Phổ Thông",Liu Chun-Chieh,"WilliamChan, Tina Tang, Xu Ran, Mify, Ngụy Đại Huân, Eliza Liang, Lee Tae, Joyce, La Vân Hi, Lisa Chan, Wu Jing, Liu Li Wei, Rong Rong, Cai Gang, Fan Chun Xia"
Thần Khuyển Tiểu Thất 3,Phim bộ,50000,9,T13,2019,43,Trung Quốc đại lục,"Bí Ẩn, Thành Thị, Thanh Xuân, Tiếng Phổ Thông",Yuan Xiao Man,"Jo Jiang, Cecilia Boey, Xu Ke, Cai Guo Qing, Cai Xuan Zheng, Vanessa"
Ma Nữ Đáng Yêu,Phim bộ,11600,9.2,T13,2015,16,Hàn Quốc,"Lãng Mạn, Viễn Tưởng, Tiếng Hàn",Liu Zai Yuan,"Park BoYoung, Kim Seulgie, Lim Ju-hwan"
Giới Độc Phong Vân,Phim bộ,11000,8.6,T16,2020,37,Trung Quốc đại lục,"Tội Phạm, Bí Ẩn, Tình Tiết, Hình Sự, Thành Thị, Tiếng Phổ Thông",Wu Tian Ge,"He Zheng Jun, Li Qian, Chi Miao, Wei Li"
The Lord Of Losers 2,Phim bộ,34000,9.7,T13,2023,24,Trung Quốc đại lục,"Phim Hài, Thành Thị, Tiếng Phổ Thông",Frank Wei,"Lý Giai Hàng, Zhang Yi Duo, Cheng Guo, Liu Zhong Qiu, Tu Hua, Li Wenfan, sunyiwen"
Chúng Ta Hướng Tới Các Vì Sao,Phim bộ,22000,9.4,T13,2024,24,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Tiếng Phổ Thông",Ba Chen Xu,"Victor, Ngô Thiên Doanh, Dai Gu La, Luyu Pan, Thời An, Gaga, Shen Bo Huai"
Thần chết,Phim bộ,9600,9.1,T16,2017,18,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Viễn Tưởng, Tiếng Hàn",Jin Hong Shan,"Song Seung Heon, Kim Dong Joon, Elle Lee, Ara"
Thế giới ngôn ngữ mới (Kì 1),Phim bộ,2000,8,T13,2017,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Phim Hài, Thành Thị, Tiếng Phổ Thông",Sun Jia Jun,"Yu Lang, Zhang He Hao Zhen, Zhao Ying Jun, Sun Yi Ning, Guo Jin Fan"
Một tôi khác trên thế giới này,Phim bộ,1400,9.2,T13,2022,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào","Yu Jing, Wang Kai Yang","Zhao Dong Ze, Wu Man Si, Thang Mộng Giai, Tiêu Vũ Lương"
Vườn Sao Băng,Phim bộ,6200,9.6,T13,2009,25,Hàn Quốc,"Phim Hài, Thành Thị, Tình Yêu Ngọt Ngào, Học Đường, Tiếng Hàn","Gi-Sang Jeon,Jun Ki Sang","Ku Hye Sun, Lee Min Ho, Hyun-joong Kim, Kim Bum, Kim Jun, Kim So-eun, Chae-young Han, Seok-Hwan An, Ye-jin Im"
Sợi Chỉ Đỏ,Phim bộ,19100,9.7,T18,2019,17,Thái Lan,"LGBT, Lãng Mạn, Tình Tiết, Học Đường, Thái Lan",New Siwaj Sawatmaneekul,"Ohm Thitiwat Ritprasert, Natouch Siripongthon, Kao Noppakao Dechaphattanakun, Earth Katsamonnat Namwirote,Earth, Boun Noppanut, Prem Warut Chawalitrujiwong,Prem, Sammy Samantha Melanie Coates, Bosston Suphadach Wilairat, Mix Wanut Sangtianprapai, Pineare Pannin Charnmanoon"
#cedoklife,Phim bộ,8000,9.5,T13,2023,6,Malaysia,"Tình Tiết, Phim Hài, Tình Bạn, Tiếng Mã Lai",Waan Hafiz,"Faha Azhar, Sathis Varan, Ku Farisah, Hana Tiha, Nick Davis, Alynn Techen"
Lực lượng thần bí,Phim bộ,23000,9.1,T16,2015,20,Trung Quốc đại lục,"Bí Ẩn, Khoa Học Viễn Tưởng, Tình Tiết, Thanh Xuân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Zhang Li,"Han Yang, Trương Bân Bân , Veronique, Wang Yi Jia, Zheng Xu Dong, Dolly fox, Zhao Yi Han, Tino"
Chỉ Là Quan Hệ Hôn Nhân,Phim bộ,33900,9.6,T13,2021,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Hôn Nhân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Li Yao Bo,"Vương Ngọc Văn, Vương Tử Kỳ, Dịch Bách Thần, Yang Yue, Lý Tuấn Thuần"
GEN Y The Series,Phim bộ,36400,9.4,T18,2020,12,Thái Lan,"LGBT, Lãng Mạn, Tình Bạn, Thanh Xuân, Học Đường, Thái Lan",Sathanapong Limwongthong,"Bas Suradet Piniwat, Kimmon Warodom Khemmonta, Copter Panuwat Kerdthongtavee, Dun Romchampa, Bank Thoranin Manosudprasit, Bonus Thanadech Deeseesuk, Bank Thanathip Srithongsuk, Thanapon Aiemkumchai (Pon), Kad Ploysupa, Jet Jetsadakorn Bundit, Bank Theewara Panyatara"
【Lồng Tiếng】Cửa Hàng Tiện Lợi Saet Byul,Phim bộ,1600,9.4,T13,2020,16,Hàn Quốc,"Lãng Mạn, Thành Thị, Thanh Xuân, Tiếng Việt",Myung-woo Lee,"Ji Chang Wook, Kim You Jung, Angel Face, Sang-woo Do"
Khi Người Cá Yêu,Phim bộ,3800,9,T13,2019,24,Trung Quốc đại lục,"Lãng Mạn, Viễn Tưởng, Thanh Xuân, Tiếng Phổ Thông",Huang Tian Ren,"Wangyanxin, Li Jun Yao, Phan Hiểu Đông, Yuan Li Ruo Xin, Hao Ming Qi, Shi Xue Jing"
Thế Giới Hôn Nhân,Phim bộ,5500,9.2,T18,2020,16,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Tình Tiết, Gia Đình, Hôn Nhân, Tiếng Hàn",Mao Wan Ri,"KimHee-ae,Hie-ae Kim, Hea-jun Park, So-hee Han"
Theo Dấu Bí Mật,Phim bộ,4000,8.2,T16,2021,28,Trung Quốc đại lục,"Tội Phạm, Bí Ẩn, Tình Tiết, Hình Sự, Tiếng Phổ Thông",Jin Ye,"Xu Sheng Nan, Liu Hai Lan, Rocky, Sun Hao Yang, Jiang Kai, Wang Zi Xuan"
Muôn Kiểu Ghen Tuông,Phim bộ,3400,9.2,T13,2016,24,Hàn Quốc,"Lãng Mạn, Tình Tiết, Phim Hài, Hôn Nhân, Tiếng Hàn",Shin-woo Park,"Kong Hyo-Jin, Jo Jung-Suk / Jo Jeong-seok, Mi-suk Lee, Ko Kyung Pyo"
雾中系铃人,Phim bộ,15000,9.1,T13,2023,30,Trung Quốc đại lục,"Tội Phạm, Bí Ẩn, Lãng Mạn, Tình Tiết, Hình Sự, Tiếng Phổ Thông",Gu Jin Yun,"Fu Da Long, Sun Qian, Chen Yi Heng, Shi Jing Ming, Zhang Xi Lin, Wang Yan Hui"
【Thuyết Minh】Đại Lý Tự Thiếu Khanh Du,Phim bộ,22000,9.6,T13,2024,36,Trung Quốc đại lục,"Bí Ẩn, Tình Tiết, Hư Cấu, Phim Hài, Thanh Xuân, Cổ Trang",wangwei,"Đinh Vũ Hề, Zhou Qi, Ngụy Triết Minh, Ding Jia Wen, Zhang Yi Cong, Feng Man, Oa Nhĩ, Nhậm Mẫn, Roy"
Anh trai tôi trong đội bơi,Phim bộ,13000,8.6,P,2018,12,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân",Yang Huan,"DA QIAN, Xu Chen Yu, Gu Hui Min"
【Thuyết minh】Thanh Xuân Sáng Thế Kỷ,Phim bộ,6000,9.3,T13,2022,47,Trung Quốc đại lục,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân, Thương Trường, Tiếng Việt",Chen Fei Hong,"Hoàng Cảnh Du, Ngô Cẩn Ngôn"
【Thuyết minh】Một Đời Một Kiếp (Nhất Sinh Nhất Thế),Phim bộ,6500,9.7,T13,2021,30,Trung Quốc đại lục,"Tổng Tài Bá Đạo, Thương Trường, Tình Yêu Ngọt Ngào, Tiếng Việt, Tiểu Thuyết Chuyển Thể",Shen Yang,"Nhậm Gia Luân, Bạch Lộc"
Đại Sư Tìm Người,Phim bộ,26000,8.8,T16,2017,12,Trung Quốc đại lục,"Bí Ẩn, Thành Thị, Thanh Xuân, Tiếng Phổ Thông",Li Ze Lu,"Harry,Hu Yun Hao, Hà Hoa, Kenny Bee,Jan To Chung,Chun-to Chung,Chun To Chung, Fingal, Qian Di Di"
Công Chúa Của Ảnh Đế,Phim bộ,16900,9.5,T13,2022,30,Trung Quốc đại lục,"Lãng Mạn, Tổng Tài Bá Đạo, Tình Bạn, Tình Yêu Ngọt Ngào, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Huang Tian Ren,"Kyulkyung, Từ Chính Khê, Ngô Giai Di, Harry,Hu Yun Hao, Từ Khải Hâm, Lý Nhược Ninh"
Cô Bạn Trần Bạch Lộ,Phim bộ,1500,8.5,P,2016,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thanh Xuân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Chen Kun Hui,"Koala, Trương Thiên Ái, Qu Chu Xiao, Li Zi Feng, Tan Kai, Niki, MingDow"
Những Người Thừa Kế,Phim bộ,19600,9.4,T13,2013,20,Hàn Quốc,"Lãng Mạn, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường, Tiếng Hàn",Shin-hyo Kang,"Lee Min Ho, Park Shin Hye, Woo-bin Kim, Jung Soo Jung, Kang Min Hyuk , Kim Ji Won, Ha-neul Kang, Lim Ju Eun, Park Hyung Sik"
A Portrait of Jianghu: Reincarnated Disciple,Phim bộ,6000,8.5,T16,2023,24,Trung Quốc đại lục,"Bí Ẩn, Phiêu Lưu, Lãng Mạn, Viễn Tưởng, Tiếng Phổ Thông",Ricky,"Qin Xiao Xuan, Vương Dịch Đình, Xia Nan, Chen Tao Xun, Lý Thục Đình, Long Shui Ting, Bai Bing Ke, Zhang yikai, He Bin"
Star Struck: Truy Tinh,Phim bộ,5100,9.6,T18,2023,8,Hàn Quốc,"LGBT, Lãng Mạn, Tình Tiết, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào",Park Seon Jae,"Zu Ho, Chae Soo-ah, Park Tae-in, KWON SAN"
Ải Mỹ Nhân 3,Phim bộ,1000,9.1,T16,2016,12,Trung Quốc đại lục,"Tội Phạm, Bí Ẩn, Lãng Mạn, Tình Tiết, Thanh Xuân, Tiếng Phổ Thông","George Leung, Tat Chiu Lee","Yang Rong, Bạch Vũ, EVAN, He Feng Tian, Wang Yu, Nan Fu Long, Tom Price,Tom Bai, Mễ Nhiệt, Cindy, Thích Tích, Zhang Yi Jie, Chu Jun Chen, Muchen Tian, Yiqin Zhao"
Mùa Hè Của Hương Bạc Hà,Phim bộ,29800,9.4,T13,2021,24,Trung Quốc đại lục,"Tình Tiết, Thanh Xuân, Học Đường, Tiếng Phổ Thông","MosChen,Mi Bao","Nghê Kha Hân, Trần Hạc Nhất , Cora, Johnson"
Lạc Lối,Phim bộ,6000,8.7,T16,2019,35,Trung Quốc đại lục,"Tội Phạm, Bí Ẩn, Hành Động, Hình Sự, Tiếng Phổ Thông",Yao Min,"Jian Wu, Jacky, Wang Qiang, Zhu Dan Qing, Lu Qian Wen, Xuyết Ni, LiangBaoling, Yan Lin Fei"
Không Thích Hẹn Hò Nhưng Sợ Cô Đơn,Phim bộ,1800,8.9,T13,2020,10,Hàn Quốc,"Lãng Mạn, Phim Hài, Thành Thị, Tiếng Hàn",LeeSem,"Ji Hyun-Woo, Kim So-eun"
Khanh Khanh Nhật Thường (Tân Xuyên Nhật Thường),Phim bộ,54400,9.6,T13,2022,40,Trung Quốc đại lục,"Lãng Mạn, Phim Hài, Tình Yêu Ngọt Ngào, Cổ Trang, Tiếng Phổ Thông",Zhao Qi Chen,"Bạch Kính Đình, Điền Hi Vi, Chen Xiao Yun, Lưu Quán Lân, Lingzi Liu"
Khát vọng yêu thương,Phim bộ,2000,7.6,T13,2017,12,Trung Quốc đại lục,"Lãng Mạn, Thành Thị, Tiếng Phổ Thông",Shi Lei,"Que Zi Heng, Liang Ai Lin, Zhao Zhen Ting, Li Zheng Yan Qi, Zhao Zhen Ting, Li Zheng Yan Qi"
Cần Sự Lãng Mạn 2012,Phim bộ,1200,8.8,T13,2012,16,Hàn Quốc,"Lãng Mạn, Phim Hài, Tình Bạn, Thanh Xuân, Gia Đình, Tiếng Hàn","Jung-hyo Lee, Zhang Rong You","Yu-mi Jung, lee jin Uk, Kang Yeseul, Ji-woo Kim, Kim Ji Suk, kimyewon, Kyeo-woon Jeong,정겨운"
【Lồng Tiếng】Nửa Là Đường Mật Nửa Là Đau Thương,Phim bộ,8600,9.5,T13,2020,36,Trung Quốc đại lục,"Lãng Mạn, Tổng Tài Bá Đạo, Thanh Xuân, Thương Trường, Tình Yêu Ngọt Ngào, Tiếng Việt","Vũ Trung Trung, Ngô Kiến Tân","La Vân Hi, Bạch Lộc, Tiêu Yến, Cao Hãn Vũ, Vương Dĩ Luân"
Vì Tình Yêu Nên Hạnh Phúc,Phim bộ,34000,9.1,P,2016,66,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Gia Đình, Hôn Nhân, Tiếng Phổ Thông",Liu Chun-Chieh,"WilliamChan, Tina Tang, Xu Ran, Mify, Ngụy Đại Huân, Eliza Liang, Lee Tae, Joyce, La Vân Hi, Lisa Chan, Wu Jing, Liu Li Wei, Rong Rong, Cai Gang, Fan Chun Xia"
Biển lớn ở Phía Đông,Phim bộ,2000,8.4,T13,2017,35,Trung Quốc đại lục,"Chiến Tranh, Tiếng Phổ Thông","Feng Xiao Ning, Li Hai Feng","Yin Xiao Tian, Liu Xiao Wei, Nhiếp Viễn, Lv Li Ping, Huang Hai Bing"
Love Senior: Tiền Bối Kỷ Luật Yêu Em Được Không?,Phim bộ,60000,9.6,T18,2023,10,Thái Lan,"LGBT, Lãng Mạn, Tình Bạn, Thanh Xuân, Học Đường, Thái Lan",Manassanun Su,"Anda Anunta Teavirat, Lookkaew Kamollak Sangsubsin, Thunyaphat Inyawilert, Putticha Boonyamas, Danita Choktadaporn, Aphichaya Kamnoetsirikun, Parima Peamkaroonrath, Supatsorn Suriyakul, Buachumpoo Homdork, Pataravadee Thitivoodtikul, Dangtawan Ho, Deviyabha Uddhachandra, Sirapath Sarakunr, Bank Thoranin Manosudprasit, Bonus Thanadech Deeseesuk"
